Name,Sales Price With GST
SB Olive Oil Sticks - 140g,375 
SB Peanut Butter Stick - 140g,375 
Sheba Fish with Dry Bonito - 35g,50 
Sheba Fish with Sasmi - 35g,50 
Sheba With Tuna Pumpkin & Carrot - 70g,70 
"Smart Heart Puppy Chicken, Egg & Milk - 1.3Kg",448 
SmartHeart Chicken & Egg - 1.5Kg,431 
SmartHeart Chicken & Liver Chunk in Gravy - 80g,45 
SmartHeart Chicken Chunk Teriyaki Gravy - 80,45 
SmartHeart Creamy Dog Treats Chicken & Pumpkin - 60g,100 
SmartHeart Creamy Dog Treats Strawberry - 60g,100 
SmartHeart Creamy Treats Chicken & Pumpkin,100 
SmartHeart Dog Treat Chicken & Carrot - 60g,100 
SmartHeart Dog Treat Chicken & Spinach - 60g,100 
SmartHeart Puppy Chicken Chunk Gravy -  80g,45 
SmartHeart Puppy Chicken Chunk With Carrot & Egg Gravy -80g,45 
SmartHeart Small Breed Chicken & Liver - 1.3Kg,460 
SmartHeart Smoked Liver - 1.5Kg,159 
Tasty Jerky Grilled Liver Flavor - 70g,80 
Temptation Creamy Pure Maguro & Scallop - 48g,99 
Temptation Creamy Pure Salmon & Cheese - 48g,100 
Temptation Creamy Pure Tuna & Chicken - 48g,100 
Temptation Mix Ups Chicken & Salmon - 75g,150 
Temptation Treat Cats Seafood Medley- 85g,150 
Temptations Chicken -85g,150 
Temptations Tasty Mix Ups Tuna & Chicken -75g,150 
Temptations Treats Tuna - 85g,150 
Whiskas Adult Chicken - 1.2Kg,531 
Whiskas Adult Chicken - 3 Kg,1192 
Whiskas Adult Mackerel - 1.2Kg,531 
Whiskas Adult Mackerel - 3Kg,1192 
Whiskas Adult Ocean Fish - 1.2Kg,531 
Whiskas Adult Tasty Mix Chicken Tuna Carrot in Gravy - 70g,50 
Whiskas Adult Tuna - 1.2 KG,531 
Whiskas Chicke Gravy - 80g,50 
Whiskas Junior Chicken Gravy - 80g,50 
Whiskas Junior Chicken with Salmon Jelly - 80g,50 
Whiskas Junior Mackerel - 80g,50 
Whiskas Junior Tuna Jelly - 80g,50 
Whiskas Kitten Ocaen Fish - 1.1kg,502 
Whiskas Kitten Ocean Fish - 3KG,1392 
Whiskas Kitten Tasty Mix Tuna Kanikama Carrot Gravy - 70g,50 
Whiskas Ocean Fish Jelly - 80g,50 
Whiskas Tasty Mix Chicken Salmon Wakame Seaweed Gravy - 70g,50 
Whiskas Tasty Mix Chicken Tuna Sweet Potato Gravy - 70g,50 
Whiskas Tasty Mix Seafood Cocktail Carrot Flavour in Gravy - 70g,50 
Whiskas Tasty Mix with Seafood cocktail Wakame seaweed and,50 
Whiskas Tuna & White Fish - 80g,50 
Whiskas Tuna Jelly - 80g,50 
Wonder White Baby Powder - 10Kg,975 
Wonder White Baby Powder - 5Kg,500 
Wonder White Lavendar - 5Kg,500 
Wonder White Lavender-10Kg,975 
let's Bite Active Kitten Ocean Fish - 1Kg,589
